Timestamp,Class,Archetype,Rank,Link,Class1,Archetype1,First1,Result1,Class2,Archetype2,First2,Result2,Out of GP (Lost twice),Class3,Archetype3,First3,Result3,Out of GP (Lost twice).1,Class4,Archetype4,First4,Result4,Out of GP (Lost twice).2,Class5,Archetype5,First5,Result5,Wins,First
2018/09/24 3:34:25 AM MDT,Portalcraft,Puppet,C,,Shadowcraft,,1.0,0.0,Portalcraft,,2.0,1.0,,Forestcraft,Roach,1.0,0.0,"I'm out, feels bad",,,,,,,,,,1.0,0.0
2018/09/24 5:08:19 AM MDT,Runecraft,Dshift,AA,,Shadowcraft,Arcus,2.0,1.0,Shadowcraft,Atomy,2.0,0.0,,Shadowcraft,Midrange,1.0,1.0,,Shadowcraft,Midrange,2.0,1.0,,Bloodcraft,Vengeance,1.0,1.0,4.0,0.0
2018/09/24 8:06:11 AM MDT,Shadowcraft,Nephthys,AA,,Portalcraft,Puppet,1.0,1.0,Runecraft,Dshift,1.0,0.0,,Bloodcraft,Dfb,2.0,1.0,,Dragoncraft,Ramp,1.0,1.0,,Shadowcraft,Midrange,2.0,1.0,4.0,0.0
2018/09/24 11:49:37 AM MDT,Bloodcraft,Dfb,Master,http://sv.bagoum.com/db/Dq6,Shadowcraft,Midrange,2.0,1.0,Runecraft,Dshift,2.0,1.0,,Bloodcraft,Vengeance,1.0,1.0,,Shadowcraft,Midrange,1.0,1.0,,Runecraft,Daria,1.0,1.0,5.0,0.0
2018/09/24 12:17:13 PM MDT,Runecraft,Burn,AA,,Bloodcraft,Dfb,2.0,0.0,Shadowcraft,Midrange,1.0,1.0,,Shadowcraft,Midrange,2.0,1.0,,Bloodcraft,Dfb,1.0,1.0,,Havencraft,Storm,2.0,0.0,3.0,0.0
2018/09/24 12:41:40 PM MDT,Dragoncraft,,Grand Master,,Havencraft,Tenko,1.0,1.0,Bloodcraft,,2.0,1.0,,Bloodcraft,,2.0,1.0,,Runecraft,Dshift,2.0,0.0,,Havencraft,Tenko,1.0,1.0,4.0,0.0
2018/09/24 12:43:33 PM MDT,Bloodcraft,Dfb,A,,Dragoncraft,Roost,1.0,1.0,Bloodcraft,Dfb,,0.0,,Forestcraft,Aggro,,1.0,,Havencraft,Summit,1.0,0.0,"I'm out, feels bad",,,,,2.0,0.0
2018/09/24 12:48:12 PM MDT,Havencraft,Tenko,A,http://sv.bagoum.com/db/DT6,Shadowcraft,Midrange,1.0,1.0,Shadowcraft,Midrange,1.0,1.0,,Runecraft,Dshift,2.0,0.0,,Havencraft,Tenko,1.0,1.0,,Bloodcraft,Dfb,2.0,1.0,4.0,0.0
2018/09/24 1:07:15 PM MDT,Bloodcraft,Dfb,Master,,Bloodcraft,Dfb,2.0,1.0,Shadowcraft,Midrange,2.0,1.0,,Bloodcraft,Dfb,1.0,1.0,,Shadowcraft,Midrange,1.0,0.0,,Shadowcraft,Midrange,1.0,1.0,4.0,0.0
2018/09/24 1:16:59 PM MDT,Portalcraft,Puppet,Grand Master,,Shadowcraft,Midrange,2.0,0.0,Shadowcraft,Midrange,2.0,1.0,,Shadowcraft,Midrange,2.0,0.0,"I'm out, feels bad",,,,,,,,,,1.0,0.0
2018/09/24 1:20:13 PM MDT,Bloodcraft,Dfb,C,,Forestcraft,Roach,,1.0,Bloodcraft,Dfb,,1.0,,Shadowcraft,Midrange,,1.0,,Shadowcraft,Midrange,,1.0,,Bloodcraft,Vengeance,,1.0,5.0,0.0
2018/09/24 1:55:51 PM MDT,Havencraft,Tenko,Master,,Shadowcraft,Midrange,1.0,1.0,Runecraft,Dirt,1.0,1.0,,Shadowcraft,Midrange,2.0,1.0,,Dragoncraft,Roost,1.0,1.0,,Shadowcraft,Midrange,2.0,0.0,4.0,0.0
