Timestamp,Class,Archetype,Rank,Link,Class1,Archetype1,First1,Result1,Class2,Archetype2,First2,Result2,Out of GP (Lost twice),Class3,Archetype3,First3,Result3,Wins
2018/09/24 2:54:35 PM MDT,Swordcraft,Support Cannon,B,,Shadowcraft,Midrange,First,1.0,Dragoncraft,Roost,Second,0.0,,Shadowcraft,Midrange,Second,0.0,1.0
2018/09/24 3:48:00 PM MDT,Havencraft,Tenko,Grand Master,,Shadowcraft,Midrange,,0.0,Shadowcraft,Midrange,,1.0,,Havencraft,Tenko,,1.0,2.0
2018/09/24 3:49:54 PM MDT,Shadowcraft,Midrange,AA,,Swordcraft,Aggro,First,1.0,Shadowcraft,Midrange,Second,1.0,,Bloodcraft,Dfb,First,1.0,3.0
2018/09/24 5:41:20 PM MDT,Forestcraft,Roach,Master,,Bloodcraft,Dfb,,0.0,Bloodcraft,Vengeance,,1.0,,Bloodcraft,Dfb,,0.0,1.0
2018/09/24 6:04:05 PM MDT,Shadowcraft,Midrange,Master,,Havencraft,Summit,Second,0.0,Dragoncraft,Roost,First,1.0,,Runecraft,Dshift,First,1.0,2.0
2018/09/24 6:23:16 PM MDT,Forestcraft,Roach,AA,,Shadowcraft,Midrange,First,1.0,Bloodcraft,Dfb,First,0.0,,Shadowcraft,Midrange,First,0.0,1.0
2018/09/24 10:58:03 PM MDT,Forestcraft,Roach,Master,,Runecraft,,Second,1.0,Havencraft,,First,1.0,,Runecraft,Dirt,First,1.0,3.0
2018/09/24 11:56:42 PM MDT,Bloodcraft,Dfb,A,,Havencraft,Elana,Second,1.0,Shadowcraft,Midrange,First,1.0,,Portalcraft,Artifact,Second,1.0,3.0
2018/09/25 12:37:44 AM MDT,Swordcraft,Midrange,D,,Runecraft,Spellboost,First,1.0,Shadowcraft,Midrange,Second,1.0,,Runecraft,Spellboost,Second,1.0,3.0
2018/09/25 11:23:25 PM MDT,Dragoncraft,Dragonplate,AA,https://shadowverse-portal.com/deck/1.4.61O4A.61O4A.61O4A.659nE.659nE.61LeE.61LeE.61O4K.61O4K.61O4K.5_394.5_394.5_394.6I772.6I772.6I772.6PqHY.6PqHY.6PqHY.6Tgt6.6Tgt6.6Tgt6.5_38w.5_38w.5_38w.6TeQY.6TeQY.6TeQY.6Tf9Q.6Tf9Q.6Tf9Q.6AY0A.6AY0A.6AY0A.6AV4q.6AV4q.6AV4q.6TeQi.6TeQi.6TeQi?lang=en,Shadowcraft,Midrange,Second,1.0,Dragoncraft,Lindworm,Second,1.0,,Havencraft,Tenko,Second,1.0,3.0
