Timestamp,Class,Archetype,Rank,Link,Class1,Archetype1,First1,Result1,Class2,Archetype2,First2,Result2,Class3,Archetype3,First3,Result3,Class4,Archetype4,First4,Result4,Class5,Archetype5,First5,Result5,Wins,First
8/10/2018 14:46:41,Portalcraft,Puppet,AA,,Portalcraft,Puppet,2.0,0,Portalcraft,Artifact,1.0,1,Forestcraft,Aggro,,1,Portalcraft,Artifact,2.0,0,Bloodcraft,Jormungand,1.0,1,3,0
8/10/2018 15:00:11,Portalcraft,Puppet,Master,,Havencraft,,1.0,0,Runecraft,,2.0,0,Havencraft,,2.0,1,Runecraft,,1.0,1,Havencraft,,1.0,0,2,0
8/10/2018 15:47:17,Forestcraft,Aggro,Master,,Dragoncraft,Lindworm,2.0,1,Portalcraft,Puppet,2.0,0,Portalcraft,Puppet,1.0,1,Shadowcraft,Arcus,1.0,0,Portalcraft,Artifact,2.0,1,3,0
8/10/2018 15:51:26,Swordcraft,Midrange,Master,,Portalcraft,Puppet,1.0,1,Forestcraft,Aggro,1.0,1,Swordcraft,Neutral,1.0,1,Forestcraft,,1.0,1,Swordcraft,Aggro,2.0,1,5,0
8/10/2018 15:58:36,Portalcraft,Artifact,D,1oa7,Runecraft,Spellboost,2.0,0,Dragoncraft,Ramp,2.0,0,Runecraft,Spellboost,1.0,0,Portalcraft,Puppet,2.0,1,Runecraft,Spellboost,2.0,0,1,0
8/10/2018 16:00:07,Runecraft,Spellboost,D,https://shadowverse-portal.com/deck/1.3.5-gkQ.5-gkQ.5-gkQ.6PQ9g.6PQ9g.6PQ9g.6LYrs.6LYrs.6LYrs.5-gka.5-gka.5-gka.5-gku.5-gku.5-gku.6HqJw.6HqJw.6HqJw.6Lc0g.6Lc0g.6Lc0g.6TGkw.6TGkw.6TISI.6TISI.6TISI.6PSbw.6W__a.6W__a.6W__a.6TG02.6TG02.5-glM.5-glM.5-glM.6LgAS.6LgAS.6LgAS.5-iRo.5-iRo?lang=en,Portalcraft,Puppet,,0,Bloodcraft,,,0,Dragoncraft,Pdk,,1,Runecraft,Dirt,,1,Portalcraft,Puppet,,1,3,0
8/10/2018 18:30:57,Runecraft,Abyss,AA,,Swordcraft,Midrange,1.0,0,Runecraft,Spellboost,2.0,1,Dragoncraft,Ramp,2.0,1,Portalcraft,Puppet,1.0,1,Runecraft,Spellboost,1.0,1,4,0
8/10/2018 18:45:20,Forestcraft,Midrange,A,https://shadowverse-portal.com/deck/3.1.fsMZQ.fsMZQ.fsMZQ.5zvAi.5zvAi.5zvAi.6Oh22.6Oh22.6Oh22.6SVBM.6SVBM.6SVBM.5zvvQ.5zvvQ.5zvvQ.6H0p2.6H0p2.6H0p2.6H2m2.6H2m2.6Ko0i.6Ko0i.6Ko0i.6WJKC.6WJKC.6WJKC.6Ksv2.6Ksv2.6WLmI.6WLmI.6WLmI.6KvLI.6KvLI.6SXdS.6SXdS.6SXdS.6SXdc.6SXdc.6KvLS.6KvLS?lang=en#,Bloodcraft,Aggro,1.0,1,Runecraft,Spellboost,2.0,0,Runecraft,Spellboost,1.0,1,Portalcraft,Puppet,1.0,1,Runecraft,Mysteria,,1,4,0
8/10/2018 20:41:53,Forestcraft,Aggro,A,,Dragoncraft,Lindworm,2.0,1,Swordcraft,Midrange,1.0,1,Dragoncraft,Ramp,2.0,1,Portalcraft,Puppet,1.0,1,Portalcraft,Puppet,2.0,1,5,0
8/10/2018 23:13:21,Runecraft,Spellboost,AA,,Portalcraft,Puppet,2.0,0,Portalcraft,Puppet,2.0,0,Portalcraft,Puppet,2.0,0,Portalcraft,Puppet,2.0,0,Bloodcraft,Aggro,1.0,1,1,0
8/11/2018 0:11:25,Swordcraft,Aggro,A,,Bloodcraft,Aggro,2.0,0,Portalcraft,Puppet,1.0,1,Dragoncraft,Ramp,1.0,1,Havencraft,Tenko,2.0,1,Forestcraft,Aggro,2.0,0,3,0
8/11/2018 0:57:03,Dragoncraft,Pdk,Master,,Bloodcraft,Aggro,2.0,0,Runecraft,Spellboost,2.0,1,Forestcraft,Aggro,1.0,1,Shadowcraft,Midrange,2.0,1,Havencraft,Summit,1.0,1,4,0
8/11/2018 3:20:56,Portalcraft,Puppet,Master,,Forestcraft,Aggro,1.0,1,Dragoncraft,Jerva,1.0,1,Swordcraft,Midrange,2.0,1,Runecraft,Spellboost,1.0,1,Dragoncraft,Lindworm,1.0,1,5,0
8/11/2018 10:50:39,Portalcraft,Artifact,A,,Runecraft,Spellboost,2.0,1,Dragoncraft,Jabberwock,1.0,1,Bloodcraft,Snake,1.0,1,Swordcraft,Midrange,2.0,0,Portalcraft,Puppet,1.0,0,3,0
8/11/2018 14:12:10,Portalcraft,Puppet,Master,,Swordcraft,Midrange,2.0,1,Runecraft,Spellboost,2.0,0,Runecraft,Spellboost,2.0,0,Runecraft,Spellboost,1.0,1,Forestcraft,Aggro,1.0,0,2,0
8/11/2018 14:13:22,Swordcraft,Midrange,Master,,Havencraft,Tenko,2.0,1,Havencraft,Neutral,1.0,1,Havencraft,Summit,1.0,0,Havencraft,Tenko,2.0,1,Shadowcraft,Arcus,2.0,1,4,0
8/11/2018 14:14:26,Portalcraft,Puppet,Master,,Runecraft,Spellboost,2.0,1,Portalcraft,Artifact,2.0,1,Portalcraft,Puppet,1.0,0,Forestcraft,Midrange,1.0,1,Swordcraft,Midrange,2.0,1,4,0
8/11/2018 17:58:58,Forestcraft,Aggro,Master,,Forestcraft,Aggro,2.0,1,Portalcraft,Puppet,1.0,0,Havencraft,Tenko,1.0,0,Havencraft,Lion,2.0,1,Dragoncraft,Jabberwock,1.0,1,3,0
8/11/2018 19:03:51,Forestcraft,Midrange,A,,Runecraft,Spellboost,2.0,1,Forestcraft,Midrange,2.0,0,Forestcraft,Midrange,2.0,1,Havencraft,Tenko,2.0,1,Portalcraft,Puppet,2.0,1,4,0
8/11/2018 21:20:05,Forestcraft,Midrange,Master,,Havencraft,Tenko,1.0,1,Runecraft,Spellboost,2.0,1,Swordcraft,Midrange,2.0,1,Havencraft,Tenko,2.0,1,Havencraft,Tenko,2.0,0,4,0
8/11/2018 21:50:21,Havencraft,Lion,A,https://sv.bagoum.com/deckbuilder#NiwzOjEwOTcxMzAxMCwzOjEwNjczMzAxMCwxOjEwOTAzNDAxMCwzOjEwNTc0MTAxMCwzOjEwOTczMTAxMCwzOjEwMDcxNDAyMCwzOjEwODcxNDAxMCwzOjEwODcxMzAxMCwzOjEwODcyMjAxMCwzOjEwNjAyMTAyMCwzOjEwODcyMTAxMCwzOjEwOTcyNDAxMCwzOjEwOTc0MTAxMCwzOjEwOTczNDAxMA==,Havencraft,Lion,1.0,0,Shadowcraft,Arcus,2.0,0,Havencraft,Lion,1.0,1,Portalcraft,Puppet,1.0,0,Swordcraft,Aggro,2.0,0,1,0
8/11/2018 22:01:46,Dragoncraft,Jerva,AA,2115,Portalcraft,Puppet,,1,Portalcraft,Puppet,2.0,1,Portalcraft,Puppet,1.0,1,Forestcraft,Neutral,2.0,1,Portalcraft,Puppet,2.0,0,4,0
8/12/2018 2:00:27,Portalcraft,Puppet,Master,,Forestcraft,Control,,1,Portalcraft,Puppet,,1,Forestcraft,Midrange,,1,Runecraft,Spellboost,,1,Runecraft,Spellboost,,0,4,0
8/12/2018 3:19:15,Runecraft,Spellboost,Master,,Runecraft,Spellboost,2.0,1,Havencraft,Lion,2.0,1,Portalcraft,Puppet,2.0,0,Swordcraft,Aggro,2.0,0,Dragoncraft,Pdk,2.0,1,3,0
8/12/2018 5:48:18,Havencraft,Lion,Master,,Havencraft,Neutral,2.0,1,Portalcraft,Artifact,1.0,1,Bloodcraft,Jormungand,1.0,1,Forestcraft,Neutral,1.0,1,Runecraft,Abyss,1.0,0,4,0
8/12/2018 6:34:47,Havencraft,Summit,Grand Master,https://shadowverse-portal.com/deck/1.7.6N9tI.6N9tI.6N9tI.6Qzmg.6Qzmg.6Qzmg.6JNhI.6JNhI.6JNhI.6Ung2.6Ung2.6Ung2.6Ybp2.6Ybp2.60COa.60COa.60COa.6Qv7o.6Qv7o.6Qv7o.6UjGo.6UjGo.6UjGo.6Q_zI.6Q_zI.6Q_zI.6Uq6S.6Uq6S.6Uq6S.6JJI2.6JJI2.6NBqI.6NBqI.6YeFI.6YeFI.6Q_zS.6Q_zS.6Q_zS.6YeFS.6YeFS?lang=en,Dragoncraft,Lindworm,2.0,1,Havencraft,Tenko,2.0,1,Portalcraft,Puppet,1.0,1,Havencraft,Lion,2.0,1,Havencraft,Summit,2.0,1,5,0
8/12/2018 8:28:44,Portalcraft,Puppet,Master,,Portalcraft,Puppet,1.0,1,Havencraft,Lion,2.0,1,Forestcraft,Aggro,2.0,1,Dragoncraft,Ramp,2.0,0,Runecraft,Spellboost,2.0,1,4,0
8/12/2018 9:16:45,Dragoncraft,Jerva,Master,Jerva+zoowy+ramp+boardclear,Havencraft,Lion,2.0,0,Swordcraft,Token,2.0,1,Havencraft,Lion,1.0,1,Runecraft,Spellboost,2.0,1,Swordcraft,Midrange,1.0,1,4,0
8/12/2018 15:33:39,Forestcraft,Aggro,Master,,Havencraft,Lion,2.0,1,Forestcraft,Aggro,1.0,0,Forestcraft,Midrange,2.0,1,Dragoncraft,Jabberwock,2.0,1,Havencraft,Tenko,1.0,1,4,0
8/12/2018 17:27:13,Forestcraft,Neutral,AA,,Runecraft,Spellboost,2.0,1,Dragoncraft,Ramp,2.0,1,Forestcraft,Aggro,1.0,1,Runecraft,Spellboost,2.0,1,Bloodcraft,Control,1.0,1,5,0
8/12/2018 18:17:15,Swordcraft,Aggro,B,https://shadowverse-portal.com/deck/3.2.5zWm2.5zWm2.5zWm2.5-Hb2.5-Hb2.5-Hb2.6LFJi.6LFJi.6LFJi.6WfIS.6WfIS.6WfIS.6KS2I.6KS2I.6KS2I.5-HbC.5-HbC.5-HbC.5-Hbq.5-Hbq.5-Hbq.6HOkc.6HOkc.6HOkc.6GbTC.6GbTC.6GbTC.6LCtS.6LCtS.6LCtS.6LHlo.6Wcs2.6Wcs2.6Wcs2.6HMI2.6HMI2.6HMI2.6WiTQ.6WiTQ.6WiTQ?lang=en,Swordcraft,Midrange,2.0,0,Portalcraft,,2.0,1,Forestcraft,Aggro,2.0,1,Havencraft,Lion,1.0,1,Forestcraft,Neutral,2.0,0,3,0
8/12/2018 21:08:31,Forestcraft,Aggro,Master,,Shadowcraft,Arcus,1.0,1,Portalcraft,Puppet,2.0,0,Havencraft,Tenko,2.0,0,Dragoncraft,Lindworm,1.0,1,Dragoncraft,Jabberwock,1.0,0,2,0
8/12/2018 21:20:18,Bloodcraft,Aggro,Master,,Portalcraft,Puppet,2.0,1,Forestcraft,,1.0,1,Dragoncraft,Ramp,2.0,1,Havencraft,Lion,2.0,1,Swordcraft,Midrange,1.0,0,4,0
8/13/2018 5:40:10,Havencraft,Lion,A,http://sv.bagoum.com/db/DCE,Shadowcraft,Reanimate,2.0,1,Havencraft,Lion,2.0,1,Portalcraft,Puppet,2.0,1,Havencraft,Summit,2.0,0,Forestcraft,Aggro,1.0,0,3,0
